Issue Key,Summary,Assignee,Issue Type,Parent Issue,Created Date,Field,From,To,Changed At,Duration
SCRUM-22,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,status,To Do,Done,2025-03-10T06:46:14.433+0000,0:00:00
SCRUM-21,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,created,None,Story,2025-02-27T23:49:14.000+0000,N/A
SCRUM-21,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,Sprint,None,Sample Sprint 1,2025-02-27T23:49:14.433+0000,"7 days, 15:37:00"
SCRUM-21,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,status,To Do,Done,2025-03-07T15:26:14.433+0000,0:00:00
SCRUM-20,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,created,None,Story,2025-02-27T23:49:14.000+0000,N/A
SCRUM-20,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,Sprint,None,Sample Sprint 1,2025-02-27T23:49:14.432+0000,"5 days, 8:59:00"
SCRUM-20,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,status,To Do,Done,2025-03-05T08:48:14.432+0000,0:00:00
SCRUM-19,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,created,None,Story,2025-02-27T23:49:14.000+0000,N/A
SCRUM-19,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,Sprint,None,Sample Sprint 1,2025-02-27T23:49:14.432+0000,"3 days, 20:24:00"
SCRUM-19,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,status,To Do,Done,2025-03-03T20:13:14.432+0000,0:00:00
SCRUM-18,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,created,None,Story,2025-02-27T23:49:14.000+0000,N/A
SCRUM-18,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,Sprint,None,Sample Sprint 1,2025-02-27T23:49:14.432+0000,20:30:00
SCRUM-18,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,status,To Do,Done,2025-02-28T20:19:14.432+0000,0:00:00
SCRUM-17,"Instructions for deleting this sample board and project are in the description for this issue >> Click the ""SCRUM-17"" link and read the description tab of the detail view for more",Laurent Brichet,Bug,None,2025-03-14T00:59:14.000+0000,created,None,Bug,2025-03-14T00:59:14.000+0000,N/A
SCRUM-17,"Instructions for deleting this sample board and project are in the description for this issue >> Click the ""SCRUM-17"" link and read the description tab of the detail view for more",Laurent Brichet,Bug,None,2025-03-14T00:59:14.000+0000,Sprint,None,Sample Sprint 2,2025-03-14T00:59:14.432+0000,10:44:00
SCRUM-17,"Instructions for deleting this sample board and project are in the description for this issue >> Click the ""SCRUM-17"" link and read the description tab of the detail view for more",Laurent Brichet,Bug,None,2025-03-14T00:59:14.000+0000,status,To Do,In Progress,2025-03-14T11:43:14.432+0000,"3 days, 5:52:00"
SCRUM-17,"Instructions for deleting this sample board and project are in the description for this issue >> Click the ""SCRUM-17"" link and read the description tab of the detail view for more",Laurent Brichet,Bug,None,2025-03-14T00:59:14.000+0000,status,In Progress,Done,2025-03-17T17:35:14.432+0000,0:00:00
SCRUM-16,"As a team, we can finish the sprint by clicking the cog icon next to the sprint name above the ""To Do"" column then selecting ""Complete Sprint"" >> Try closing this sprint now",Unassigned,Story,None,2025-02-21T04:55:14.000+0000,created,None,Story,2025-02-21T04:55:14.000+0000,N/A
SCRUM-16,"As a team, we can finish the sprint by clicking the cog icon next to the sprint name above the ""To Do"" column then selecting ""Complete Sprint"" >> Try closing this sprint now",Unassigned,Story,None,2025-02-21T04:55:14.000+0000,Sprint,None,Sample Sprint 1,2025-02-27T23:49:14.432+0000,"14 days, 1:10:00"
SCRUM-16,"As a team, we can finish the sprint by clicking the cog icon next to the sprint name above the ""To Do"" column then selecting ""Complete Sprint"" >> Try closing this sprint now",Unassigned,Story,None,2025-02-21T04:55:14.000+0000,Sprint,Sample Sprint 1,"Sample Sprint 1, Sample Sprint 2",2025-03-14T00:59:14.432+0000,4:44:00
SCRUM-16,"As a team, we can finish the sprint by clicking the cog icon next to the sprint name above the ""To Do"" column then selecting ""Complete Sprint"" >> Try closing this sprint now",Unassigned,Story,None,2025-02-21T04:55:14.000+0000,status,To Do,In Progress,2025-03-14T05:43:14.432+0000,"1 day, 1:48:00"
SCRUM-16,"As a team, we can finish the sprint by clicking the cog icon next to the sprint name above the ""To Do"" column then selecting ""Complete Sprint"" >> Try closing this sprint now",Unassigned,Story,None,2025-02-21T04:55:14.000+0000,status,In Progress,Done,2025-03-15T07:31:14.432+0000,0:00:00
SCRUM-15,"As a scrum master, I can see the progress of a sprint via the Burndown Chart >> Click ""Reports"" to view the Burndown Chart",Unassigned,Story,None,2025-03-14T00:59:14.000+0000,created,None,Story,2025-03-14T00:59:14.000+0000,N/A
SCRUM-15,"As a scrum master, I can see the progress of a sprint via the Burndown Chart >> Click ""Reports"" to view the Burndown Chart",Unassigned,Story,None,2025-03-14T00:59:14.000+0000,Sprint,None,Sample Sprint 2,2025-03-14T00:59:14.432+0000,"2 days, 4:44:00"
SCRUM-15,"As a scrum master, I can see the progress of a sprint via the Burndown Chart >> Click ""Reports"" to view the Burndown Chart",Unassigned,Story,None,2025-03-14T00:59:14.000+0000,status,To Do,In Progress,2025-03-16T05:43:14.432+0000,"2 days, 9:52:00"
SCRUM-15,"As a scrum master, I can see the progress of a sprint via the Burndown Chart >> Click ""Reports"" to view the Burndown Chart",Unassigned,Story,None,2025-03-14T00:59:14.000+0000,status,In Progress,Done,2025-03-18T15:35:14.432+0000,0:00:00
SCRUM-14,"As a user, I can find important items on the board by using the customisable ""Quick Filters"" above >> Try clicking the ""Only My Issues"" Quick Filter above",Laurent Brichet,Story,None,2025-03-20T05:59:14.000+0000,created,None,Story,2025-03-20T05:59:14.000+0000,N/A
SCRUM-14,"As a user, I can find important items on the board by using the customisable ""Quick Filters"" above >> Try clicking the ""Only My Issues"" Quick Filter above",Laurent Brichet,Story,None,2025-03-20T05:59:14.000+0000,Sprint,None,Sample Sprint 2,2025-03-20T05:59:14.431+0000,0:00:00
SCRUM-13,"As a developer, I can update details on an item using the Detail View >> Click the ""SCRUM-13"" link at the top of this card to open the detail view",Laurent Brichet,Bug,None,2025-03-14T00:59:14.000+0000,created,None,Bug,2025-03-14T00:59:14.000+0000,N/A
SCRUM-13,"As a developer, I can update details on an item using the Detail View >> Click the ""SCRUM-13"" link at the top of this card to open the detail view",Laurent Brichet,Bug,None,2025-03-14T00:59:14.000+0000,Sprint,None,Sample Sprint 2,2025-03-14T00:59:14.431+0000,0:00:00
SCRUM-12,"When the last task is done, the story can be automatically closed >> Drag this task to ""Done"" too",Unassigned,Sub-task,None,2025-03-18T10:26:14.000+0000,created,None,Sub-task,2025-03-18T10:26:14.000+0000,N/A
SCRUM-12,"When the last task is done, the story can be automatically closed >> Drag this task to ""Done"" too",Unassigned,Sub-task,None,2025-03-18T10:26:14.000+0000,status,To Do,In Progress,2025-03-18T10:26:14.431+0000,0:00:00
SCRUM-11,"Update task status by dragging and dropping from column to column >> Try dragging this task to ""Done""",Laurent Brichet,Sub-task,None,2025-03-17T13:01:14.000+0000,created,None,Sub-task,2025-03-17T13:01:14.000+0000,N/A
SCRUM-11,"Update task status by dragging and dropping from column to column >> Try dragging this task to ""Done""",Laurent Brichet,Sub-task,None,2025-03-17T13:01:14.000+0000,status,To Do,In Progress,2025-03-17T13:01:14.431+0000,0:00:00
SCRUM-10,"As a developer, I can update story and task status with drag and drop (click the triangle at far left of this story to show sub-tasks)",Laurent Brichet,Story,None,2025-03-14T00:59:14.000+0000,created,None,Story,2025-03-14T00:59:14.000+0000,N/A
SCRUM-10,"As a developer, I can update story and task status with drag and drop (click the triangle at far left of this story to show sub-tasks)",Laurent Brichet,Story,None,2025-03-14T00:59:14.000+0000,Sprint,None,Sample Sprint 2,2025-03-14T00:59:14.430+0000,0:00:00
SCRUM-9,"As a developer, I'd like to update story status during the sprint >> Click the Active sprints link at the top right of the screen to go to the Active sprints where the current Sprint's items can be updated",Unassigned,Story,None,2025-03-21T10:09:15.000+0000,created,None,Story,2025-03-21T10:09:15.000+0000,N/A
SCRUM-8,"As a product owner, I'd like to include bugs, tasks and other issue types in my backlog ",Laurent Brichet,Bug,None,2025-03-21T10:09:14.000+0000,created,None,Bug,2025-03-21T10:09:14.000+0000,N/A
SCRUM-8,"As a product owner, I'd like to include bugs, tasks and other issue types in my backlog ",Laurent Brichet,Bug,None,2025-03-21T10:09:14.000+0000,assignee,None,Laurent Brichet,2025-03-21T13:53:25.890+0000,0:00:10.288000
SCRUM-8,"As a product owner, I'd like to include bugs, tasks and other issue types in my backlog ",Laurent Brichet,Bug,None,2025-03-21T10:09:14.000+0000,summary,"As a product owner, I'd like to include bugs, tasks and other issue types in my backlog >> Bugs like this one will also appear in your backlog but they are not normally estimated","As a product owner, I'd like to include bugs, tasks and other issue types in my backlog ",2025-03-21T13:53:36.178+0000,0:07:59.859000
SCRUM-8,"As a product owner, I'd like to include bugs, tasks and other issue types in my backlog ",Laurent Brichet,Bug,None,2025-03-21T10:09:14.000+0000,Link,None,This issue relates to SCRUM-6,2025-03-21T14:01:36.037+0000,0:00:00
SCRUM-7,This is a sample task. Tasks are used to break down the steps to implement a user story,Laurent Brichet,Sub-task,None,2025-03-21T10:09:14.000+0000,created,None,Sub-task,2025-03-21T10:09:14.000+0000,N/A
SCRUM-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",Michel Katz,Story,None,2025-03-21T10:09:14.000+0000,created,None,Story,2025-03-21T10:09:14.000+0000,N/A
SCRUM-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",Michel Katz,Story,None,2025-03-21T10:09:14.000+0000,assignee,None,Laurent Brichet,2025-03-21T13:15:39.291+0000,0:00:12.034000
SCRUM-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",Michel Katz,Story,None,2025-03-21T10:09:14.000+0000,assignee,Laurent Brichet,Michel Katz,2025-03-21T13:15:51.325+0000,0:00:05.466000
SCRUM-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",Michel Katz,Story,None,2025-03-21T10:09:14.000+0000,status,To Do,In Progress,2025-03-21T13:15:56.791+0000,0:00:05.892000
SCRUM-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",Michel Katz,Story,None,2025-03-21T10:09:14.000+0000,assignee,Michel Katz,Laurent Brichet,2025-03-21T13:16:02.683+0000,0:00:05.954000
SCRUM-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",Michel Katz,Story,None,2025-03-21T10:09:14.000+0000,assignee,Laurent Brichet,Michel Katz,2025-03-21T13:16:08.637+0000,0:45:27.403000
SCRUM-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",Michel Katz,Story,None,2025-03-21T10:09:14.000+0000,Link,None,This issue relates to SCRUM-8,2025-03-21T14:01:36.040+0000,0:00:00
SCRUM-5,"As a team, I'd like to commit to a set of stories to be completed in a sprint (or iteration) >> Click ""Create Sprint"" then drag the footer down to select issues for a sprint (you can't start a sprint at the moment because one is already active)",Unassigned,Story,None,2025-03-21T10:09:14.000+0000,created,None,Story,2025-03-21T10:09:14.000+0000,N/A
SCRUM-4,"As a team, I'd like to estimate the effort of a story in Story Points so we can understand the work remaining >> Try setting the Story Points for this story in the ""Estimate"" field",Unassigned,Story,None,2025-03-21T10:09:14.000+0000,created,None,Story,2025-03-21T10:09:14.000+0000,N/A
SCRUM-3,"As a product owner, I'd like to rank stories in the backlog so I can communicate the proposed implementation order >> Try dragging this story up above the previous story",Unassigned,Story,None,2025-03-21T10:09:14.000+0000,created,None,Story,2025-03-21T10:09:14.000+0000,N/A
SCRUM-2,"As a product owner, I'd like to express work in terms of actual user problems, aka User Stories, and place them in the backlog >> Try creating a new story with the ""+ Create Issue"" button (top right of screen)",Unassigned,Story,None,2025-03-21T10:09:14.000+0000,created,None,Story,2025-03-21T10:09:14.000+0000,N/A
SCRUM-1,"As an Agile team, I'd like to learn about Scrum >> Click the ""SCRUM-1"" link at the left of this row to see detail in the Description tab on the right",Unassigned,Story,None,2025-03-21T10:09:14.000+0000,created,None,Story,2025-03-21T10:09:14.000+0000,N/A
